"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",둔지미공원①,,대전광역시 서구 둔산동 956,N,1,2,1,1,0,0,4,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",둔지미공원②,대전광역시 서구 대덕대로 270 (둔산동),,N,2,3,1,0,0,0,4,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3569208643,127.3798125738,2020-01-16
"공중화장실",뒤뜰어린이공원,대전광역시 서구 계룡로342번길 28 (갈마동),,Y,0,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3526914615,127.3663073411,2020-01-16
"공중화장실",들말공원,대전광역시 서구 들말4길 24 (가장동),,Y,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3294747955,127.3842768278,2020-01-16
"공중화장실",만년공원,,대전광역시 서구 만년동 157,N,1,1,1,1,1,1,1,1,1,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",매노교 상류,,대전광역시 서구 매노교 상류,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",무궁화공원,,대전광역시 서구 정림동 441,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",문정공원,대전광역시 서구 둔산남로191번길 24 (둔산동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3500277085,127.3989181253,2020-01-16
"공중화장실",반달공원,,대전광역시 서구 월평동 801,Y,1,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",백야공원,,대전광역시 서구 가수원동 815-6,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",백운공원,대전광역시 서구 도산로335번길 62 (괴정동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3378525803,127.3863763837,2020-01-16
"공중화장실",변동근린공원②,,대전광역시 서구 도마동 산2-10,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",변정공원,대전광역시 서구 변정3길 18 (변동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3233085247,127.3827186247,2020-01-16
"공중화장실",보라매공원①,,대전광역시 서구 탄방동 589,N,3,4,0,0,0,0,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",보라매공원②,,대전광역시 서구 탄방동 589,N,0,1,1,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",복수근린공원,,대전광역시 서구 복수동 산2-3,N,0,1,1,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",봉우재근린공원,,대전광역시 서구 관저동 1662,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",빼울약수터입구,,대전광역시 서구 가수원동 618-18,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",빼울여가녹지,,대전광역시 서구 가수원동 630-5,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",사정공원,대전광역시 서구 월평중로24번길 39 (월평동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3567943421,127.3660680874,2020-01-16
"공중화장실",괴곡동 새뜸마을,,대전광역시 서구 괴곡동 새뜸마을,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",상촌공원,,대전광역시 서구 갈마동 1318,N,1,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",새들공원,대전광역시 서구 괴정로198번길 46,,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3311589861,127.3895999681,2020-01-16
"공중화장실",새뜸공원,대전광역시 서구 월평새뜸로4번길 49-26 (월평동),,N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3539646699,127.3553150373,2020-01-16
"공중화장실",새말공원,,대전광역시 서구 탄방동 780,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",샘머리공원①,대전광역시 서구 둔산북로 85 (둔산동),,N,2,3,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3560389864,127.3839260620,2020-01-16
"공중화장실",샘머리공원②,,대전광역시 서구 둔산동 1381,N,1,2,1,0,0,0,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",샘머리공원③,,대전광역시 서구 둔산동 1382,N,1,2,1,1,0,0,4,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",서당골약수터,,대전광역시 서구 도솔산 7,N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",섬말공원,,대전광역시 서구 월평동 1046,N,1,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",성애노인요양원앞,,대전광역시 서구 관저동 769-1,N,2,2,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",소태공원,,대전광역시 서구 도안동 170-2,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",수밋들공원,대전광역시 서구 정림동로 8-6 (정림동),,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3040635321,127.3664138077,2020-01-16
"공중화장실",신선암공원,대전광역시 서구 관저중로 65 (관저동),,N,2,3,0,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.2981708948,127.3340428397,2020-01-16
"공중화장실",씨애틀공원,,대전광역시 서구 둔산동 1385,N,1,2,1,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",안골공원,,대전광역시 서구 내동 161-7,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",안산뜸공원,,대전광역시 서구 갈마동 363-1,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",예정공원,대전광역시 서구 동서대로1047번길 16 (내동),,N,1,1,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3313606563,127.3784410529,2020-01-16
"공중화장실",오동 버스정류장,,대전광역시 서구 오동 버스정류장,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",오동 선양소주 앞,,대전광역시 서구 오동 선양소주 앞(서구 오동 407 버스정거장 옆),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",오동 우명교 옆,,대전광역시 서구 오동 우명교 옆(서구 오동 455-42 옆),N,1,1,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",오량공원,,대전광역시 서구 복수동 287-4,N,1,1,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",오리골 약수터,,대전광역시 서구 오리골 약수터(정림동 37답 옆),N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",용문공원,대전광역시 서구 아랫강변4길 68 (용문동),,Y,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3397479756,127.3986562858,2020-01-16
"공중화장실",용소수변공원,대전광역시 서구 용소로39번길 77 (가수원동),,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3118250897,127.3530437350,2020-01-16
"공중화장실",용촌교 상류500지점,,대전광역시 서구 용촌교 상류500지점,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",용촌교 옆,,대전광역시 서구 용촌교 옆(서구 용촌동 304-4),N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",용촌동 정자 옆,,대전광역시 서구 용촌동 정자 옆,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",우마장공원,,대전광역시 서구 갈마동 409,N,2,2,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",우정어린이공원,대전광역시 서구 용문로 41-17 (괴정동),,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3398095717,127.3887118407,2020-01-16
"공중화장실",운전자푸른쉼터,,대전광역시 서구 월평동 1528-2,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-4012,연중무휴,,,,2020-01-16
"공중화장실",웅기공원,,대전광역시 서구 괴정동 138-5,N,2,1,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",원모공원,대전광역시 서구 벌곡로1379번길 33 (가수원동),,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3038049814,127.3516804416,2020-01-16
"공중화장실",원정동 시내버스종점,,대전광역시 서구 원정동 시내버스종점(서구 노저골길 7 옆),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",월평공원,대전광역시 서구 월평로27번길 1 (월평동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3567582166,127.3601630454,2020-01-16
"공중화장실",윗둔지미공원,,대전광역시 서구 둔산동 1193,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",은평공원①,대전광역시 서구 월평중로 55 (월평동),,N,2,3,1,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3594696440,127.3635046649,2020-01-16
"공중화장실",장갓골공원,,대전광역시 서구 관저동 1129,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",장안 저수지,,대전광역시 서구 장안 저수지,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",장안동 버스종점,,대전광역시 서구 장안동 버스종점,N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",정림공원,,대전광역시 서구 정림동 668,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",정뱅이 다리옆,,대전광역시 서구 정뱅이마을 다리옆,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",정뱅이마을 입구,,대전광역시 서구 정뱅이마을 입구(용촌동 412-1),Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",제비네공원,,대전광역시 서구 도마동 165-1,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",중보공원,대전광역시 서구 만년남로3번길 101 (만년동),,N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3654090394,127.3709130815,2020-01-16
"공중화장실",증촌꽃마을,,대전광역시 서구 평촌동 산24-6,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",지치울공원,대전광역시 서구 괴정로16번길 5 (괴정동),,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3397176941,127.3768819421,2020-01-16
"공중화장실",청산공원,,대전광역시 서구 만년동 7,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",평화공원,,대전광역시 서구 변동 254-364,N,2,1,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",한마음공원,,대전광역시 서구 갈마동 392-6,N,1,3,1,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",흑석유원지(누리길),,대전광역시 서구 흑석동 622,N,1,2,1,0,0,0,3,1,0,대전광역시 서구청,042-288-2733,연중무휴,,,,2020-01-16
"공중화장실",가수원공원①,대전광역시 서구 가수원중로65번길 22 (가수원동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.2981900209,127.3524924319,2020-01-16
"공중화장실",가수원공원②,대전광역시 서구 가수원중로65번길 22,,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.2981900209,127.3524924319,2020-01-16
"공중화장실",가온학교옆,,대전광역시 서구 가수원동 839,N,1,1,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",갈마공원,대전광역시 서구 갈마역로 55 (갈마동),,N,1,2,1,1,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3555081097,127.3740078891,2020-01-16
"공중화장실",강변어린이공원,,대전광역시 서구 정림동 563,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",계룡공원,,대전광역시 서구 둔산동 1234,N,1,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",계림공원,대전광역시 서구 계백로1300번길 43 (정림동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3065425314,127.3679307382,2020-01-16
"공중화장실",관저동 공영주차장,,대전광역시 서구 관저동 1510,N,0,2,1,0,0,0,2,1,0,대전광역시 서구청,042-288-4012,연중무휴,,,,2020-01-16
"공중화장실",괴곡교옆 버스정류장,,대전광역시 서구 괴곡교옆 버스정류장(서구 괴곡동 894-7 옆),Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",괴곡동 등산로 입구,,대전광역시 서구 괴곡동 등산로 입구(괴곡동 377-7),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",구봉공원,대전광역시 서구 가수원중로 43-11 (가수원동),,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3007728988,127.3530740789,2020-01-16
"공중화장실",남선공원①,대전광역시 서구 남선로 66 (탄방동),,N,2,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3464002460,127.3981777635,2020-01-16
"공중화장실",남선공원②,대전광역시 서구 남선로 66 (탄방동),,N,2,2,0,0,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3464002460,127.3981777635,2020-01-16
"공중화장실",내원사 옆(도마동 산7),대전광역시 서구 배재로 155-40 (도마동),,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3543,연중무휴,,36.3232380927,127.3660759070,2020-01-16
"공중화장실",내원사입구,,대전광역시 서구 내원사 입구(도마동 산7),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",느리울공원,,대전광역시 서구 관저동 1419,N,2,3,1,0,0,0,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",도마게이트볼장,,"대전광역시 서구 도마게이트볼장(도마동), 괴정동 415",N,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-2733,연중무휴,,,,2020-01-16
"공중화장실",도마실체육공원,대전광역시 서구 유등로 235,,N,2,2,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3121907719,127.3852119473,2020-01-16
"공중화장실",도마실체육공원(게이트볼장 옆),대전광역시 서구 유등로 235,,N,2,2,0,0,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3121907719,127.3852119473,2020-01-16
"공중화장실",도안근린공원,,대전광역시 서구 도안동 1361,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",도안운전자푸른쉼터,,대전광역시 서구 가수원동 835,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-4012,연중무휴,,,,2020-01-16
"공중화장실",도산어린이공원,,대전광역시 서구 탄방동 1051,N,0,1,1,0,0,0,0,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",은평공원②,,대전광역시 서구 월평동 313,N,0,2,1,0,0,2,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3594696440,127.3635046649,2020-01-16
"공중화장실",불티어린이공원,,대전광역시 서구 복수동 277-5,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3076246805,127.3735074119,2020-01-16
